class,category,title,image_path,url
livros,produtividade,O poder do hábito - Charles Duhigg,/assets/images/store/livros/o_poder_do_habito.jpg,https://amzn.to/3IXX1SY
livros,produtividade,Essencialismo - Greg Mckeown,/assets/images/store/livros/essencialismo.jpg,https://amzn.to/3pNaQMD
livros,produtividade,Comece pelo porquê - Simon Sinek,/assets/images/store/livros/comece_pelo_porque.jpg,https://amzn.to/3MyG04d
livros,auto-ajuda,+ Esperto que o Diabo - Napoleon Hill,/assets/images/store/livros/mais_esperto_que_o_diabo.jpg,https://amzn.to/3MBy1TO
livros,auto-ajuda,A quietude é a chave - Ryan Holiday,/assets/images/store/livros/a_quietude_e_a_chave.jpg,https://amzn.to/3vUjpcq
livros,auto-ajuda,Seus pontos fracos - Dr. Wayne W. Dyer,/assets/images/store/livros/seus_pontos_fracos.jpg,https://amzn.to/3tL9fb7
livros,produtividade,Ponto de Inflexão - Flávio Augusto da Silva,/assets/images/store/livros/ponto_de_inflexao.jpg,https://amzn.to/3vQrMWk
livros,jornalismo,A sangue frio - Truman Capote,/assets/images/store/livros/a_sangue_frio.jpg,https://amzn.to/3sUY9kQ
livros,produtividade,O Milagre da Manhã - Hal Elrod,/assets/images/store/livros/o_milagre_da_manha.jpg,https://amzn.to/3KxjNle
livros,produtividade,Originais - Adam Grant,/assets/images/store/livros/originais.jpg,https://amzn.to/3IXXt3O
livros,produtividade,Transformando suor em ouro - Bernadinho,/assets/images/store/livros/transformando_suor_em_ouro.jpg,https://amzn.to/3hRUvlx
eletronicos,celulares,iPhone 13 Pro Max (512 GB Grafite),/assets/images/store/celulares/iphone12_grafite.jpg,https://amzn.to/37j2Nkg
eletronicos,cameras,Canon DSLR EOS 90D + 18-55mm,/assets/images/store/cameras/canon_dslr_eos_90d.jpg,https://amzn.to/3vTOahq
eletronicos,cameras,Webcam Full HD Logitech C920s,/assets/images/store/cameras/webcam_logitech_c920.jpg,https://amzn.to/3sX21Sr
